name sample,ADP (mV),AHP (mV),AI,AP amplitude (mV),AP threshold (mV),AP width (ms),Max number of spikes,Input R (MOhm),Vm (mV),Latency (ms),Rheobase (pA),Sag ratio,Tau (ms),Cell type,Good quality
20180627sample10,0.0,-8.993219584226607,0.13730912495352912,80.11278882622719,-39.53155130147935,0.8400000000000074,33,227.63242728285942,-43.263904702663424,2.440606390891421,0.0,1.3582940634851266,24.251537483699817,S1layer5,True
20180705sample10,0.7335506379604341,5.10820746421814,0.7002723913299967,78.13579775393009,-49.648933112621314,1.0000000000000009,23,329.4614096917212,-57.09113120213151,3.6584202466292277,20.0,1.042440923155752,19.3317759982178,S1layer5,True
20180627sample4,0.0,-12.612774968147278,0.11381440862947538,79.77978885173799,-37.493374198675156,0.920000000000004,29,249.47155987968048,-49.837414152920246,3.9191972091761467,20.0,1.1322200909299676,22.791603945624967,S1layer5,True
20180626sample9,0.0,-16.38457179069519,0.27552610666722815,83.98346975445746,-31.564030796289444,0.920000000000004,27,227.93957351023948,-55.773201367259034,4.464527856185626,40.0,1.1886638204338866,21.457080065822044,S1layer5,True
20180703sample12,0.0,-7.092799991369247,0.18139016576217565,65.0030355900526,-36.169938743114464,0.9199999999999764,32,292.7605241698524,-56.0347460359335,4.099663723699701,21.886792452830203,1.1169732495437754,13.24535150799835,S1layer5,True
20180703sample18,0.0,-8.563924580812454,0.2660579957045581,84.88705381751059,-43.74908655881882,0.7199999999999984,53,303.27817524845403,-58.43984137028457,3.149311361482292,20.0,1.2833844924584292,12.361161878410005,S1layer5,True
20180627sample7,0.0,-10.41857898235321,0.45526030163958364,79.18642088770865,-46.64793238043785,0.6000000000000449,60,198.23175524547696,-58.2587352141738,6.361578777913222,17.575757575757578,1.1053537973545329,13.075491498049395,S1layer5,True
20180626sample1,0.0,-15.65520092844963,0.12875914043707445,79.74065840244295,-37.11093962192536,0.9600000000000024,37,296.3944443538785,-52.55980321317911,2.9734866646066718,0.0,1.2934164960316676,18.640869422043078,S1layer5,True
20180626sample3,0.0,-8.741717785596848,0.22570782668757897,87.61323615908623,-40.746599435806274,1.0799999999999976,33,300.23981378475827,-60.78036052435637,3.717466910965849,40.0,1.344957281648252,17.172411559834725,S1layer5,True
20180703sample8,0.0,-2.895783632993698,0.39448292801426676,89.54190462827681,-49.43569377064705,0.7600000000000107,23,195.03536801718707,-61.63641571253538,3.461978853922014,40.0,1.100315635284628,16.679293900306376,S1layer5,True
20180703sample9,0.0,-18.487978726625446,0.08853232355241411,74.29265230894089,-33.33531320095062,0.7599999999999829,48,428.55975379298127,-60.057987692952146,4.729862629945409,13.5,1.1054415171070675,16.293974130519544,S1layer5,True
20180705sample5,0.0,-19.93006095290184,0.03323474513788665,65.65960496664047,-37.28686645627022,0.920000000000004,25,297.6924571196238,-66.5419478058815,4.751864565138895,45.77777777777778,1.2325847788845208,20.012569932225944,S1layer5,True
20180703sample13,0.0,-15.52259549498558,0.3893771377153751,69.84284520149231,-32.699037343263626,0.7600000000000107,20,222.34973384812474,-61.488414718210706,4.9413566674994875,75.0,1.1060686152256722,15.95385978234256,S1layer5,True
20180705sample9,0.0,-15.097465366125107,0.2517917955492824,73.66535812616348,-42.0972816646099,0.6800000000000139,26,320.8596225691339,-59.97931235432625,4.106931677727572,1.6216216216216215,1.2240130065968264,13.053489327475187,S1layer5,True
20180627sample6,0.0,-13.44696804881096,0.11536385828117841,78.4219093620777,-44.840436428785324,0.7600000000000107,55,287.234068573763,-61.24530356824398,3.5121422756138823,20.0,1.4659449820968218,15.179026221352574,S1layer5,True
20180627sample5,0.0,-15.900477766990662,0.1178259195643055,64.5842645317316,-37.793606519699104,0.7599999999999829,46,307.246041684101,-62.145083512365815,4.5364629879783,47.16981132075472,1.5595043753111777,17.397780323648757,S1layer5,True
20180919sample10,0.0,-12.1169313788414,0.592302554026248,68.39349120855331,-33.738870173692696,0.8399999999999797,11,241.13241597389182,-57.666161908209325,4.019621016026164,72.5,1.310779243046552,18.386018069566592,V1layer4,True
20180920sample11,0.0,-7.8537389636039725,0.23269013097498856,84.87019687891006,-44.399678707122796,0.7600000000000107,19,272.7345955967903,-59.200030060112475,3.391820219849558,20.0,1.0557411903880236,16.49792395515838,V1layer4,True
20180605sample1,0.0,-14.027729630470276,0.17259491886837647,69.49095986783503,-42.29080304503441,0.7599999999999829,22,191.02531302986398,-67.2113286435604,4.389002248410307,72.5,1.1911980571880008,14.114813514485304,V1layer4,False
20180920sample4,0.8969046175479889,-6.2345825135707855,0.3134714932760078,78.00491899251938,-42.0299656689167,0.920000000000004,14,319.1395126295587,-55.77556030452251,3.937300812612415,0.0,1.1681425094168625,22.012533961679484,V1layer4,True
20180919sample1,0.0,-6.6784247756004325,1.5147179288001176,66.93311594426632,-46.73874005675316,1.2399999999999909,5,275.21954495459795,-48.240758637482045,1.0851892683359705,0.0,1.1765775503815992,23.83814895286929,V1layer4,False
20180605sample13,0.0,-11.476192623376846,0.12867702831742467,80.52598312497139,-32.30602294206619,0.9600000000000164,16,421.04266091560334,-51.00166585147381,5.40303767731844,0.0,1.208812143117582,36.485278527686006,V1layer4,True
20180703sample15,0.0,-10.876618325710297,0.2112119679966204,73.66651296615599,-27.24086120724678,0.7600000000000107,19,394.3835238926112,-50.62988940179348,4.143769445549624,20.0,1.1988875278026525,27.250272067834054,V1layer4,True
