,branch_points,depth,height,max_branch_angle,max_branch_order,max_path_angle,max_path_dist_to_soma,max_segment_length,max_tortuosity,mean_branch_angle,mean_path_angle,mean_tortuosity,min_branch_angle,min_path_angle,min_tortuosity,name,stems,tips,total_length,type,width
name,80,91.83000000000001,230.2,158.75183194311072,14,176.21617525499693,596.5771224123731,190.1623966508626,5.1677776012193295,71.38403498213366,29.171938651056795,1.4305106516209167,0.05108395339375397,0.0,1.0,HEC_2017 03 07 slice 1 cell 7 rotated.swc,8,89,8791.561964208493,HEC,425.13
name,66,123.24,223.97,173.35956910269957,11,179.8167797672507,715.3049450443192,216.08703177192282,5.857039833741459,72.39320023245244,26.88755361261204,1.494099251693237,0.09375998094879567,0.0,1.0,HEC_2017 30 01 slice 2 cell 7 rotated.swc,8,85,13934.417226015283,HEC,561.59
name,248,100.0,491.31000000000006,167.992751619315,25,178.63123844157516,1054.7659499759136,265.9613990788889,3.255407478150844,75.27482332768875,33.603846917631465,1.4786453493101481,0.06150537345911257,0.0,1.0,SC_2016 09 06 slice C cell 7 rotated.swc,14,288,29795.688079665364,SC,585.1800000000001
name,74,63.03,273.54,172.3904804571346,15,179.44374777291935,488.00645252962124,195.03975646006123,2.977551012151421,77.37719456972157,26.913253447893354,1.2778740362660719,0.06636613437434091,0.0,1.0,SC_2017 12 09 slice 1 cell 7 rotated.swc,10,88,7731.081259219653,SC,353.14
name,121,98.03,526.16,175.9168312439599,20,176.66646169949448,935.8282831975459,197.1043918840978,5.8677068623142485,80.59757626542691,29.52941546301726,1.631100901254265,0.018367428066987,0.0,1.0,MC_2017 22 08 slice 2 cell 7 rotated.swc,6,131,15893.084329269117,MC,319.81
name,204,78.59,400.23,178.62514429926367,25,176.78976982132463,842.4458047085459,222.68816223589434,4.057551302585171,80.1750031877994,26.82940360803709,1.420005052828582,0.055772570234083545,0.0,1.0,NFC_2017 25 10 slice 2 cell 7 rotated.swc,12,225,22878.24887026262,NFC,452.04
name,65,83.62,207.36,176.40700013371497,12,177.80005198594023,435.6236818225588,174.35702738920503,4.093231872585592,72.78282731231877,33.471398289587704,1.481660042512753,0.03449868392390451,0.0,1.0,HEC_2017 06 03 slice 5 cell 7 rotated.swc,12,86,9253.16531511039,HEC,411.89
name,142,90.52000000000001,882.9,170.51933247328893,27,180.0,1859.2286526390794,348.6110178981726,44.845597589360146,82.64427943329359,29.44135186540094,2.09720912962279,0.0497343572443288,0.0,1.0,SOM L4 S1_j161128s2c6 rotated.swc,8,151,34575.94777731169,SOM L4 S1,648.39
name,133,133.14,777.8599999999999,173.5165542589145,25,178.84781689055774,709.6357067707764,337.73958370318394,4.235191845508084,72.2680233862038,28.2478866796169,1.4523389997521723,0.6305866143728527,0.0,1.0,MC_2017 19 07 slice 4 cell7 rotated.swc,7,146,15608.455377909497,MC,363.65
name,126,148.29999999999998,712.24,177.27681410573283,35,177.84674977576785,1306.8457016128207,286.9788365019274,6.266706495648284,80.14286509752814,26.41998472686824,1.5360928692847684,0.017271567955807785,0.0,1.0,BC_2018 22 09 slice 3 cell 2 rotated.swc,8,137,24635.33096779376,BC,535.5
name,222,115.72,818.94,173.44575187970625,18,176.76119190505756,1061.0293048439692,254.97071067085332,2.7617742113004002,66.26501521597027,29.952967092063165,1.3232931471005047,0.046841141653438306,0.0,1.0,DBC_2017 03 04 slice 4 cell 2 rotated.swc,8,237,28290.8318986011,DBC,485.87
